provider_id,cbsa,procedure_volume,risk_score,asc_rate,hopd_rate,inpatient_rate,asc_cost,hopd_cost,inpatient_cost,n_asc,n_hopd,n_inpatient,provider_cost_in_total_asc,provider_cost_in_total_hopd,provider_cost_in_total_inpatient,provider_cost_in_total,provider_avg_cost,cbsa_total_volume,cbsa_total_asc_volume,cbsa_total_cost,cbsa_asc_avg,cbsa_cost_avg,asc_gap,cost_gap,asc_shortfall,excess_cost,opportunity_score,high_cost_flag,high_cost_prob,treatment,asc_rate_post,volume_x_gap,cost_x_gap,uplift_score,uplift_segment,final_score
0,TX,198,0.6973773863810295,0.531868904252602,0.39018373430566045,0.07794736144173736,10883.715212378698,26599.07064058584,36409.915683456,105.3100430420152,77.25637939252077,15.433577565463997,1146164.5174726362,2054947.89289756,561935.2578526222,3763047.6682228185,19005.291253650597,134654,62008.066623482635,2921097736.5648656,0.46049925455970586,21693.36029055851,0.07136964969289616,-2688.069036907913,0.0,0.0,0.0,0,0.264228618684067,control,0.531868904252602,14.131190639193441,-37985.61601185883,0.04151783963823086,High,0.0
1,FL,194,0.9615103016580406,0.6439703170378718,0.25681154686972985,0.09921813609239827,14657.194563407742,24410.224226735743,31871.292434807474,124.93024150534713,49.82144009272759,19.248318401925264,1831126.85659739,1216152.5239623624,613468.7846660462,3660748.1652257987,18869.835903225765,138165,62388.53704565758,3004138507.337178,0.45155095028160225,21743.12240681199,0.19241936675626953,-2873.2865035862233,0.0,0.0,0.0,0,0.1093062474531995,treatment,0.6726161493332926,37.32935715071629,-107257.93808870298,0.027630747913833797,High,0.0
2,NY,23,1.3463048724296518,0.7194002589873635,0.21680188302258901,0.06379785799004754,14617.825351162588,30247.55454818457,28708.36779310652,16.54620595670936,4.986443309519547,1.4673507337710936,241869.54889954353,150827.7160061225,42125.24454658529,434822.5094522513,18905.32649792397,141464,64915.735606509705,3072683737.9465666,0.4588851976934747,21720.605510564998,0.2605150612938888,-2815.279012641029,0.0,0.0,0.0,0,0.08816854193512187,control,0.7194002589873635,5.991846409759442,-16868.71944436426,-0.13926933965443378,Low,-0.0
3,TX,154,0.954176629656244,0.542240020944127,0.37967374957120953,0.07808622948466336,13207.994596248944,24059.830114637287,35573.37113985339,83.50496322539557,58.469757433966265,12.025279340638157,1102933.1030409914,1406772.4307052789,427779.7250449326,2937485.258791203,19074.57960254028,134654,62008.066623482635,2921097736.5648656,0.46049925455970586,21693.36029055851,0.08174076638442118,-2618.780688018229,0.0,0.0,0.0,0,0.22012262850359182,treatment,0.5338211865964769,12.588078023200861,-32965.4156264251,-0.004601881332652935,Medium,-0.0
4,TX,128,0.7691916853815906,0.335465133208607,0.40559065947388345,0.25894420731750956,17437.238689662983,27639.71179510318,35347.035670654404,42.939537050701695,51.91560441265708,33.14485853664122,748746.9567767128,1434932.3436344287,1171572.4969934514,3355251.797404593,26212.90466722338,134654,62008.066623482635,2921097736.5648656,0.46049925455970586,21693.36029055851,-0.12503412135109887,4519.544376664871,0.12503412135109887,4519.544376664871,72332.44928557977,1,0.8821706790084562,control,0.335465133208607,-16.004367532940655,-72332.44928557977,0.02620881772709638,High,1895.7479790802029
5,FL,182,1.0445758687249183,0.4435112883381752,0.43280889566294867,0.12367981599887613,18407.401276767578,18772.23627626212,38006.5463202695,80.71905447754789,78.77121901065665,22.509726511795456,1485828.0264494866,1478711.9350372371,855516.9633271524,3820056.924813876,20989.323762713604,138165,62388.53704565758,3004138507.337178,0.45155095028160225,21743.12240681199,-0.008039661943427034,-753.7986440983841,0.008039661943427034,0.0,0.0,0,0.505157462086805,treatment,0.43942386019314206,-1.4632184737037202,1102.9721014975714,0.0003991860197368191,High,0.0
6,NY,67,0.9657951654251259,0.2778151877898106,0.6483648823331601,0.07381992987702922,14194.263111063883,24885.86484511217,38436.97611462789,18.61361758191731,43.44044711632173,4.945935301760958,264206.585406459,1081053.0957480252,190106.79705828082,1535366.478212765,22915.91758526515,141464,64915.735606509705,3072683737.9465666,0.4588851976934747,21720.605510564998,-0.18107000990366406,1195.3120747001522,0.18107000990366406,1195.3120747001522,14501.156336663029,1,0.7245680661062162,treatment,0.2691890819192957,-12.131690663545493,-14501.156336663029,-0.012027571002794113,Medium,-174.41368746183235
7,NY,92,0.5856978077641006,0.3426722369776543,0.5888497096043619,0.06847805341798385,15258.698943338975,23590.182434303475,40822.89117343472,31.525845801944197,54.17417328360129,6.2999809144545145,481043.3900259934,1277978.6309877238,257183.4352654924,2016205.4562792096,21915.27669868706,141464,64915.735606509705,3072683737.9465666,0.4588851976934747,21720.605510564998,-0.11621296071582038,194.67118812206172,0.11621296071582038,194.67118812206172,2081.344992671274,1,0.6764366751813939,treatment,0.3598677356877352,-10.691592385855476,-2081.3449926712738,0.017744728357632356,High,36.932901513470064
8,TX,91,0.5874811345243867,0.4608209334162748,0.43881114269029364,0.10036792389343162,13765.433585447052,25309.761591583694,38369.983836872874,41.934704940881005,39.93181398481672,9.133481074302278,577249.3957890158,1010664.6918751788,350451.5211953627,1938365.6088595572,21300.72097647865,134654,62008.066623482635,2921097736.5648656,0.46049925455970586,21693.36029055851,0.0003216788565689188,-392.6393140798609,0.0,0.0,0.0,0,0.4143637257410486,treatment,0.4706952585677745,0.029272775947771612,-11.493642669346496,0.0011381014378491483,High,0.0
9,CA,135,0.5955407493654119,0.49816113035741055,0.3555845953516085,0.146254274290981,12473.919752620135,20128.53632003461,26839.096719666846,67.25175259825042,48.00392037246715,19.744327029282434,838892.9651336384,966248.6547212544,529919.9028036436,2335061.522658536,17296.75201969286,136818,62219.816523330745,2990457076.2626686,0.4547633829125608,21857.190400843956,0.043397747444849755,-4560.438381151096,0.0,0.0,0.0,0,0.4745481490909886,treatment,0.5203740665358602,5.8586959050547165,-26718.22166890429,0.024520168500219874,High,0.0
