provider_id,cbsa,procedure_volume,risk_score,asc_rate,hopd_rate,inpatient_rate,asc_cost,hopd_cost,inpatient_cost,provider_avg_cost,cbsa_asc_avg,cbsa_cost_avg,asc_gap,cost_gap,opportunity_score,high_cost_flag,high_cost_prob,treatment,asc_rate_post,volume_x_gap,cost_x_gap,uplift_score,uplift_segment,final_score
0,TX,198,0.6973773863810295,0.531868904252602,0.39018373430566045,0.07794736144173736,10883.715212378698,26599.07064058584,36409.915683456,19005.2912536506,0.45981866948023653,21705.387221891568,-0.0720502347723655,-2700.0959682409666,38519.42458709647,0,0.25406105618277697,control,0.531868904252602,-14.265946484928367,194.54254841967918,0.02566407459927722,High,988.5653861244771
1,FL,194,0.9615103016580406,0.6439703170378718,0.25681154686972985,0.09921813609239827,14657.194563407742,24410.224226735743,31871.292434807474,18869.835903225765,0.45364567185522325,21742.780054805095,-0.19032464518264852,-2872.9441515793296,106077.6627981068,0,0.11407538696257984,treatment,0.6440674525558953,-36.92298116543381,546.792076278901,-0.0016497595155910982,High,-175.00263359284054
2,NY,23,1.3463048724296518,0.7194002589873635,0.21680188302258901,0.06379785799004754,14617.825351162588,30247.55454818457,28708.36779310652,18905.32649792397,0.45660124483146614,21757.72819188544,-0.26279901415589735,-2852.4016939614703,17240.992122442778,0,0.09549978964603344,control,0.7194002589873635,-6.044377325585639,749.608353149686,-0.19248872090912672,Low,-3318.69652085334
3,TX,154,0.954176629656244,0.542240020944127,0.37967374957120953,0.07808622948466336,13207.994596248944,24059.830114637287,35573.37113985339,19074.57960254028,0.45981866948023653,21705.387221891568,-0.08242135146389051,-2630.807619351286,33392.546791978755,0,0.2089286621125267,treatment,0.5214579838768933,-12.69288812543914,216.83471942843343,-0.01632937920379174,Medium,-545.2795591465804
4,TX,128,0.7691916853815906,0.335465133208607,0.40559065947388345,0.25894420731750956,17437.238689662983,27639.71179510318,35347.035670654404,26212.90466722338,0.45981866948023653,21705.387221891568,0.12435353627162954,4507.517445331814,71747.2939690333,1,0.8873596130722674,control,0.335465133208607,15.917252642768581,560.5257341330727,0.025873943160683532,High,1856.38540608762
5,FL,182,1.0445758687249183,0.4435112883381752,0.43280889566294867,0.12367981599887613,18407.401276767578,18772.23627626212,38006.5463202695,20989.323762713604,0.45364567185522325,21742.780054805095,0.01013438351704804,-753.4562920914905,-1389.7183349846405,0,0.5115145875616842,treatment,0.4397380684291852,1.8444578001027434,-7.6358150273881344,0.0013779012418204117,High,-1.914894619555931
6,NY,67,0.9657951654251259,0.2778151877898106,0.6483648823331601,0.07381992987702922,14194.263111063883,24885.86484511217,38436.97611462789,22915.91758526515,0.45660124483146614,21757.72819188544,0.1787860570416555,1158.189393379711,13873.563701638303,1,0.7326431293005374,treatment,0.2688464889899944,11.97866582179092,207.0681149498254,-0.012097555110627267,Medium,-167.83620146136738
7,NY,92,0.5856978077641006,0.3426722369776543,0.5888497096043619,0.06847805341798385,15258.698943338975,23590.182434303475,40822.89117343472,21915.27669868706,0.45660124483146614,21757.72819188544,0.11392900785381183,157.54850680162053,1651.3397463257497,1,0.6854708754386105,treatment,0.35952514275843395,10.481468722550687,17.949345068758152,0.018101063345974056,High,29.891005353967124
8,TX,91,0.5874811345243867,0.4608209334162748,0.43881114269029364,0.10036792389343162,13765.433585447052,25309.761591583694,38369.983836872874,21300.720976478653,0.45981866948023653,21705.387221891568,-0.0010022639360382501,-404.6662454129146,36.907996935752514,0,0.40358653754846635,treatment,0.4705449189773687,-0.09120601817948076,0.40558238390936824,0.0019352348958167065,High,0.07142564360476433
9,CA,135,0.5955407493654119,0.49816113035741055,0.3555845953516085,0.146254274290981,12473.919752620135,20128.53632003461,26839.096719666846,17296.752019692864,0.4558528601520902,21816.517242385336,-0.04230827020532035,-4519.765222692473,25815.16552134821,0,0.466411145047781,treatment,0.514027826005062,-5.711616477718247,191.22344830628307,0.015724429886138702,High,405.9287602395052
